age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
41,management,married,tertiary,no,0,no,no,cellular,3,858,1,-1,0,unknown,no
36,blue-collar,married,primary,no,156,yes,no,cellular,21,219,2,-1,0,unknown,no
32,technician,married,secondary,no,374,no,no,cellular,6,119,6,-1,0,unknown,no
30,management,single,tertiary,no,3340,no,no,cellular,3,238,3,-1,0,unknown,yes
32,management,married,tertiary,no,141,yes,yes,cellular,22,10,13,-1,0,unknown,no
45,entrepreneur,married,tertiary,no,169,no,no,cellular,7,391,4,-1,0,unknown,no
66,housemaid,married,primary,no,1230,no,no,cellular,17,726,3,-1,0,unknown,yes
29,blue-collar,divorced,secondary,no,-300,no,no,unknown,21,192,1,-1,0,unknown,no
35,services,married,secondary,no,341,yes,no,cellular,14,345,1,-1,0,unknown,yes
55,services,married,tertiary,no,2877,no,no,cellular,9,305,1,91,2,other,no
50,services,married,primary,no,-15,no,yes,unknown,2,71,1,-1,0,unknown,no
33,blue-collar,married,primary,no,41,yes,no,cellular,13,173,1,-1,0,unknown,no
32,management,single,tertiary,no,1493,yes,no,unknown,28,65,11,-1,0,unknown,no
47,management,single,tertiary,no,86,no,no,cellular,5,253,1,97,4,success,yes
37,services,divorced,secondary,no,398,yes,yes,unknown,5,214,2,-1,0,unknown,no
30,technician,divorced,secondary,no,0,no,no,cellular,21,101,1,-1,0,unknown,no
52,management,married,tertiary,no,1111,no,no,unknown,5,17,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,205,yes,yes,cellular,7,309,1,-1,0,unknown,no
34,technician,divorced,secondary,no,136,yes,no,cellular,8,136,2,-1,0,unknown,no
34,self-employed,married,primary,no,7468,yes,yes,cellular,30,383,1,-1,0,unknown,yes
35,entrepreneur,single,secondary,no,12961,yes,no,unknown,21,272,2,-1,0,unknown,no
45,management,divorced,tertiary,no,2096,no,no,cellular,13,317,2,-1,0,unknown,no
38,management,single,tertiary,no,-476,yes,no,cellular,28,76,2,-1,0,unknown,no
